source_apartment_id,recommended_apartment_id,rank,similarity_score
153,78,2,0.9364325112925436
153,149,3,0.9355314473423817
153,645,4,0.9325564093415624
153,150,5,0.872460452526191
154,134,1,0.8719711828231966
154,135,2,0.7373671168060865
154,253,3,0.7222687803605524
154,129,4,0.7143292228595294
154,359,5,0.711101013339457
155,337,1,0.9467320439111895
155,158,2,0.8886313147383063
155,507,3,0.879442379733686
155,163,4,0.8725541634997325
155,156,5,0.8483681395035685
156,157,1,0.9808413212109168
156,158,2,0.9674410503855906
156,269,3,0.9665435503841989
156,337,4,0.8786311196587008
156,159,5,0.8549568405139147
157,156,1,0.9808413212109168
157,269,2,0.9319976277283019
157,158,3,0.9308500286961545
157,337,4,0.8788991116831019
157,529,5,0.8743591466975897
158,156,1,0.9674410503855906
158,269,2,0.9503609121904949
158,157,3,0.9308500286961545
158,155,4,0.8886313147383063
158,174,5,0.8753364402812507
159,267,1,0.9027518063441198
159,199,2,0.8840736922734642
159,288,3,0.8752146554930474
159,158,4,0.8708993014198508
159,173,5,0.8679105354931608
160,128,1,0.9466439709056721
160,190,2,0.9109829420191895
160,58,3,0.9007150925831245
160,127,4,0.8833288658578551
160,509,5,0.8798753331917658
161,345,1,0.8724859874669795
161,281,2,0.8553220494067293
161,312,3,0.7930354257018778
161,282,4,0.7913401960005327
161,301,5,0.7791401599687051
162,324,1,0.9368024160404569
162,532,2,0.9037817999750477
162,63,3,0.884823930454305
162,338,4,0.882225238600027
162,337,5,0.8492957346132934
163,63,1,0.8994848170893482
163,337,2,0.888112762815899
163,190,3,0.8744544412334561
163,155,4,0.8725541634997325
163,128,5,0.8474194304057675
164,535,1,0.7268648106147696
164,546,2,0.7258083212577673
164,130,3,0.6991255807440665
164,608,4,0.6631750256983253
164,29,5,0.6150354331829888
165,210,1,0.9045934126873413
165,315,2,0.8971470666154006
165,460,3,0.8084828888333137
165,234,4,0.7913200959814735
165,47,5,0.7881035296484526
166,26,1,0.9082626593796587
166,368,2,0.9069351674834094
166,367,3,0.8688035453137382
166,670,4,0.862358272865795
166,172,5,0.8271838509939687
167,63,1,0.8896469539577458
167,471,2,0.8763262657615905
167,218,3,0.8611247443398446
167,368,4,0.8242861037030165
167,190,5,0.7946351910167943
168,279,1,0.8253557877754155
168,195,2,0.822000551451251
168,266,3,0.820766876414812
168,66,4,0.8191003612939816
168,340,5,0.747640147886535
169,218,1,0.7738851586715293
169,167,2,0.6997516628809229
169,471,3,0.6606111842915502
169,63,4,0.6544998728020188
169,670,5,0.6178793806341966
170,599,1,0.7942544823321401
170,51,2,0.7632240709275115
170,328,3,0.7557239895529327
170,176,4,0.741952194649507
170,327,5,0.7281099076033706
171,70,1,0.8713990550220421
171,69,2,0.8368361503635945
171,118,3,0.8126331795365319
171,207,4,0.7983177141551596
171,28,5,0.7889295153801678
172,173,1,0.9184156220551751
172,160,2,0.8543448795351175
172,26,3,0.851188174239932
172,166,4,0.8271838509939687
172,128,5,0.804236136219698
173,672,1,0.9282300814365841
173,172,2,0.9184156220551751
173,364,3,0.8806206162567207
173,159,4,0.8679105354931608
173,671,5,0.8399331416302824
174,365,1,0.9033144852305758
174,269,2,0.8753888676790269
174,158,3,0.8753364402812507
174,156,4,0.8513509326526758
174,674,5,0.8428708232258239
175,287,1,0.9604634858684744
175,141,2,0.9007580151861628
175,242,3,0.8435506154869954
175,143,4,0.8186251983063354
175,108,5,0.7859878893658917
176,599,1,0.8823816224276508
176,328,2,0.8666794211354144
176,51,3,0.856177334170233
176,601,4,0.829298816729713
176,636,5,0.810098508158719
177,178,1,0.8602351927708546
